0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.0,39284.0,7817.0,52322.0,28022.0,12224.0,10767.0,15661.0,52600.0,10558.0,55730.0,24426.0,10466.0,10719.0,18523.0,80182.0,9714.0,30332.0,25483.0,14873.0,34656.0,17344.0,91481.0,40.0,16937.0
19518.0,0.0,45553.0,16470.0,12020.0,50043.0,48906.0,53801.0,16749.0,42678.0,39035.0,62565.0,42586.0,42839.0,56663.0,44331.0,47504.0,33021.0,28172.0,31060.0,10481.0,55484.0,55630.0,39026.0,55077.0
60999.0,44914.0,0.0,57951.0,33651.0,11152.0,10015.0,14910.0,58230.0,14097.0,6884.0,23674.0,14005.0,14259.0,17772.0,85812.0,8614.0,35962.0,31112.0,20502.0,40285.0,16593.0,97111.0,6875.0,16186.0
5825.0,16492.0,58612.0,0.0,25079.0,63102.0,61965.0,66860.0,3055.0,55737.0,52094.0,75624.0,55645.0,55898.0,69722.0,35168.0,60563.0,46080.0,41231.0,44119.0,23540.0,68543.0,41936.0,52085.0,68136.0
28106.0,12020.0,34291.0,25058.0,0.0,38780.0,37644.0,42539.0,25336.0,31416.0,27772.0,51303.0,31324.0,31577.0,45401.0,52919.0,36242.0,21759.0,16909.0,19798.0,7392.0,44222.0,64217.0,27764.0,43814.0
66243.0,50158.0,11026.0,63195.0,38895.0,0.0,4386.0,9281.0,63474.0,19342.0,12128.0,18046.0,19250.0,19503.0,12143.0,91056.0,2771.0,41206.0,36356.0,25746.0,45529.0,10964.0,102355.0,12119.0,10557.0
65098.0,49012.0,9880.0,62050.0,37750.0,4312.0,0.0,5084.0,62328.0,18196.0,10982.0,13849.0,18104.0,18357.0,7946.0,89911.0,2517.0,40061.0,35211.0,24601.0,44384.0,6768.0,101209.0,10974.0,6360.0
69970.0,53884.0,14752.0,66922.0,42622.0,9184.0,5062.0,0.0,67200.0,23068.0,15854.0,12311.0,22976.0,23229.0,6408.0,94783.0,7389.0,44933.0,40083.0,29473.0,49256.0,5229.0,106081.0,15846.0,4822.0
3993.0,16770.0,58891.0,3055.0,25358.0,63380.0,62244.0,67138.0,0.0,56016.0,52372.0,75903.0,55924.0,56177.0,70000.0,35446.0,60842.0,46359.0,41509.0,44398.0,23818.0,68822.0,38881.0,52364.0,68414.0
63849.0,47764.0,14869.0,60801.0,36502.0,19358.0,18221.0,23116.0,61080.0,0.0,10486.0,31881.0,316.0,245.0,25978.0,88662.0,16820.0,38812.0,33962.0,23353.0,43135.0,24799.0,99961.0,10477.0,24392.0
55142.0,19540.0,61660.0,5825.0,28128.0,66150.0,65013.0,69908.0,3993.0,58785.0,55142.0,78672.0,58693.0,58946.0,72770.0,38216.0,63612.0,49128.0,44279.0,47168.0,26588.0,71591.0,42875.0,55134.0,71184.0
78757.0,62671.0,23539.0,75709.0,51409.0,17971.0,13849.0,12333.0,75987.0,31855.0,24641.0,0.0,31763.0,32016.0,9555.0,103570.0,16176.0,53720.0,48870.0,38260.0,58043.0,7996.0,114868.0,24633.0,8580.0
63757.0,47672.0,14777.0,60709.0,36409.0,19266.0,18129.0,23024.0,60988.0,316.0,10393.0,31789.0,0.0,477.0,25886.0,88570.0,16728.0,38720.0,33870.0,23260.0,43043.0,24707.0,99869.0,10385.0,24300.0
64010.0,47925.0,15030.0,60962.0,36663.0,19519.0,18383.0,23277.0,61241.0,245.0,10647.0,32042.0,477.0,0.0,26139.0,88823.0,16981.0,38973.0,34124.0,23514.0,43296.0,24960.0,100122.0,10638.0,24553.0
72855.0,56769.0,17637.0,69806.0,45507.0,12068.0,7946.0,6431.0,70085.0,25953.0,18739.0,9555.0,25861.0,26114.0,0.0,97667.0,10273.0,47817.0,42968.0,32358.0,52140.0,2474.0,108966.0,18731.0,2497.0
38214.0,44350.0,86471.0,35165.0,52938.0,90960.0,89824.0,94719.0,35444.0,83596.0,79952.0,103483.0,83504.0,83757.0,97581.0,0.0,88422.0,73939.0,69089.0,71978.0,51398.0,96402.0,74325.0,79944.0,95994.0
63473.0,47387.0,8255.0,60424.0,36125.0,3025.0,2406.0,7301.0,60703.0,16571.0,9357.0,16065.0,16479.0,16732.0,10162.0,88285.0,0.0,38435.0,33586.0,22976.0,42758.0,8984.0,99584.0,9349.0,8576.0
49091.0,33005.0,36937.0,46043.0,21743.0,41426.0,40290.0,45185.0,46321.0,34062.0,30419.0,53949.0,33970.0,34223.0,48047.0,73904.0,0.0,38888.0,10905.0,22444.0,28377.0,46868.0,85202.0,30410.0,46461.0
44261.0,28175.0,32107.0,41213.0,16913.0,36596.0,35460.0,40355.0,41491.0,29232.0,25589.0,49119.0,29140.0,29393.0,43217.0,69074.0,34058.0,10925.0,0.0,17614.0,23547.0,42038.0,80372.0,25580.0,41631.0
47291.0,31205.0,21287.0,44243.0,19943.0,25776.0,24640.0,29535.0,44521.0,18412.0,14768.0,38299.0,18320.0,18573.0,32397.0,72104.0,23238.0,22254.0,17404.0,0.0,26577.0,31218.0,83402.0,14760.0,30810.0
26566.0,10481.0,40925.0,23518.0,7392.0,45414.0,44278.0,49172.0,23797.0,38050.0,34406.0,57937.0,37957.0,38211.0,52034.0,51379.0,42876.0,28393.0,23543.0,26432.0,0.0,50855.0,62678.0,34398.0,50448.0
71676.0,55590.0,16458.0,68628.0,44328.0,10890.0,6768.0,5252.0,68906.0,24774.0,17560.0,7996.0,24682.0,24935.0,2474.0,96489.0,9095.0,46639.0,41789.0,31179.0,50962.0,0.0,107787.0,17552.0,1499.0
42875.0,55651.0,97772.0,41936.0,64239.0,102261.0,101125.0,106019.0,38881.0,94897.0,91253.0,114784.0,94805.0,95058.0,108881.0,74327.0,99723.0,85240.0,80390.0,83279.0,62699.0,107703.0,0.0,91245.0,107295.0
55374.0,39288.0,7821.0,52325.0,28026.0,12228.0,10770.0,15665.0,52604.0,10561.0,4.0,24430.0,10469.0,10722.0,18527.0,80186.0,9717.0,30336.0,25487.0,14877.0,34659.0,17348.0,91485.0,0.0,16941.0
71288.0,55203.0,16071.0,68240.0,43940.0,10502.0,6380.0,4865.0,68519.0,24387.0,17173.0,8593.0,24295.0,24548.0,2497.0,96101.0,8707.0,46251.0,41401.0,30791.0,50574.0,1512.0,107400.0,17164.0,0.0
